<span class="LineNumber"> 001 </span>                      ๓๓.  เสวนาวรรค  คือ  หมวดคบหา
<span class="LineNumber"> 002 </span>	๔๗๗. วิสฺสาสา  ภยมนฺเวติ.
<span class="LineNumber"> 003 </span>	    เพราะความไว้ใจ  ภัยจึงตามมา.
<span class="LineNumber"> 004 </span>	    ขุ.  ชา.  เอก.  ๒๗/๓๐. 
<span class="LineNumber"> 005 </span>	๔๗๘. อติจิรํ  นิวาเสน    ปิโย  ภวติ  อปฺปิโย.
<span class="LineNumber"> 006 </span>	    เพราะอยู่ด้วยกันนานเกินไป  คนที่รักก็มักหน่าย.  	
<span class="LineNumber"> 007 </span>	    ขุ.  ชา.  เตรส.  ๒๗/๓๔๗.
<span class="LineNumber"> 008 </span>	๔๗๙. ยํ  เว  เสวติ  ตาทิโส.
<span class="LineNumber"> 009 </span>	    คบคนใด  ก็เป็นเช่นคนนั้นแล.
<span class="LineNumber"> 010 </span>	    ว.  ว.
<span class="LineNumber"> 011 </span>	๔๘๐. เอกรตฺตํ  ทฺวิรตฺตํ  วา    ทุกฺขํ  วสติ  เวริสุ.
<span class="LineNumber"> 012 </span>	    อยู่ในพวกไพรีคืนเดียวหรือสองคืน  ก็เป็นทุกข์.
<span class="LineNumber"> 013 </span>	    ขุ.  ชา.  เอก.  ๒๗/๓๔.
<span class="LineNumber"> 014 </span>	๔๘๑. ทุกฺโข  พาเลหิ  สํวาโส    อมิตฺเตเนว  สพฺพทา.
<span class="LineNumber"> 015 </span>	    อยู่ร่วมกับพวกพาล  นำทุกข์มาให้เสมอไปเหมือนอยู่ร่วมกับ
<span class="LineNumber"> 016 </span>	    ศัตรู.
<span class="LineNumber"> 017 </span>	    ขุ.  ธ.  ๒๕/๔๒.
<span class="LineNumber"> 018 </span>	๔๘๒. ธีโร  จ  สุขสํวาโส    ญาตีนํว  สมาคโม.
<span class="LineNumber"> 019 </span>	    อยู่ร่วมกับปราชญ์  นำสุขมาให้เหมือนสมาคมกับญาติ.
<span class="LineNumber"> 020 </span>	    ขุ.  ธ.  ๒๕/๔๒.
