<span class="LineNumber"> 001 </span>	      <H1>๑๑.  ปฐมปติพพตาวิมาน</H1>  
<span class="LineNumber"> 002 </span>	     <H1>ว่าด้วยปติพพตาวิมาน   ๑</H1>
<span class="LineNumber"> 003 </span>     [๑๑]      <B>พระโมคคัลลานะ</B>ถามว่า
<span class="LineNumber"> 004 </span>               	          <B>ดูก่อนเทพีผู้มีอานุภาพมาก  นกกระเรียน  นก
<span class="LineNumber"> 005 </span>          	ยูงทอง  หงส์   นกดุเหว่า   ซึ่งล้วนเป็นทิพย์  ส่งเสียง
<span class="LineNumber"> 006 </span>          	อย่างไพเราะ   ชุมนุมกันอยู่    วิมานนี้ดาดาษด้วยดอกไม้
<span class="LineNumber"> 007 </span>          	สด  งดงามมาก  เทพบุตรและเทพธิดามาคบหากับท่าน
<span class="LineNumber"> 008 </span>          	นั่งอยู่ในวิมานนั้น   เหล่าเทพผู้มีฤทธิ์      สำแดงฤทธิ์
<span class="LineNumber"> 009 </span>          	มีรูปแปลก ๆ กันเป็นอันมาก     อัปสรเหล่านี้ฟ้อนรำ 
<span class="LineNumber"> 010 </span>          	ขับร้องอยู่รอบข้าง  ให้ท่านบันเทิงอยู่.</B>
<span class="LineNumber"> 011 </span>              	          <B>ดูก่อนเทพีผู้มีอานุภาพมาก  ท่านก็ได้เทพฤทธิ์
<span class="LineNumber"> 012 </span>      	ครั้งเป็นมนุษย์ท่านได้ทำบุญอะไรไว้   เพราะบุญอะไร
<span class="LineNumber"> 013 </span>           	ท่านจึงมีอานุภาพมากรุ่งเรืองอย่างนี้   และวรรณะของ
<span class="LineNumber"> 014 </span>          	ท่านจึงสว่างไสวไปทุกทิศ.</B>
<span class="LineNumber"> 015 </span>              	          <B>เทวดานั้น      ถูกพระโมคัลลานะซักถามแล้ว
<span class="LineNumber"> 016 </span>          	ดีใจ   ก็ได้พยากรณ์ปัญหาของกรรมที่มีผลอย่างนี้ว่า
<span class="LineNumber"> 017 </span>               	        ครั้งเป็นมนุษย์อยู่ในหมู่มนุษย์   ดีฉันได้เป็นผู้
<span class="LineNumber"> 018 </span>          	ปฏิบัติซื่อตรงต่อสามี   ไม่ประพฤตินอกใจ   ถนอมใจ
<span class="LineNumber"> 019 </span>          	สามี  เหมือนกันมารดาถนอมบุตร   แม้ดีฉันจะโกรธ 
<span class="LineNumber"> 020 </span>            	ไม่กล่าวคำหยาบ    ละการพูดเท็จ    ดำรงมั่นอยู่ใน
<span class="LineNumber"> 021 </span>          	ความสัตย์ยินดีในการให้ทาน  ชอบอุทิศตนสงเคราะห์</B>
