1,0001
2,0002
3,0003
4,0005
5,0006
6,0008
7,0009
8,0011
9,0012
10,0014
11,0015
12,0017
13,0019
14,0021
15,0023
16,0024
17,0026
18,0028
19,0030
20,0032
21,0034
22,0035
23,0036
24,0037
25,0038
26,0040
27,0041
28,0044
29,0045
30,0047
31,0049
32,0051
33,0053
34,0055
35,0056
36,0058
38,0060
39,0062
40,0063
41,0065
42,0066
43,0067
44,0069
45,0071
46,0072
47,0073
48,0074
49,0076
50,0077
51,0078
52,0079
53,0081
54,0082
55,0084
56,0085
57,0086
58,0088
59,0089
60,0091
61,0092
62,0093
63,0095
64,0097
65,0098
66,0099
67,0101
68,0102
69,0103
71,0106
73,0109
74,0110
75,0112
76,0113
77,0115
78,0116
79,0118
80,0119
81,0121
82,0122
83,0123
85,0126
86,0128
87,0129
88,0131
89,0133
90,0134
91,0135
92,0137
93,0138
94,0139
95,0140
96,0142
97,0143
98,0145
99,0146
100,0148
101,0150
102,0151
103,0153
104,0154
105,0155
106,0156
107,0158
108,0159
109,0160
110,0162
111,0163
112,0165
114,0167
115,0168
116,0169
118,0172
119,0173
120,0175
121,0176
122,0177
123,0178
124,0180
125,0181
126,0182
127,0183
128,0184
129,0185
130,0187
131,0188
132,0189
133,0190
135,0193
136,0195
137,0196
138,0198
139,0199
140,0200
141,0202
142,0203
143,0204
144,0205
145,0207
146,0208
147,0209
148,0211
149,0212
150,0213
151,0215
152,0216
153,0217
154,0219
155,0221
156,0222
157,0224
158,0226
