<span class="LineNumber"> 001 </span>	                     <H1>๓.  อานันทเถรคาถา</H1>
<span class="LineNumber"> 002 </span>	                           <H3>ว่าด้วยความเป็นผู้ทรงธรรม</H3>	
<span class="LineNumber"> 003 </span>      [๓๙๗]   <B>บัณฑิต    ไม่ควรทำตนให้เป็นมิตรสหายกับคนที่ชอบ
<span class="LineNumber"> 004 </span>       	ส่อเสียด  มักโกรธ  ตระหนี่  และผู้ปรารถนาให้ผู้อื่นพินาศ
<span class="LineNumber"> 005 </span>	เพราะการสมาคมกับคนชั่ว  เป็นความลามก   แต่บัณฑิต
<span class="LineNumber"> 006 </span>       	ควรทำตนให้เป็นมิตรสหายกับคนผู้มีศรัทธา    มีศีลน่ารัก
<span class="LineNumber"> 007 </span>	มีปัญญา   และเป็นคนได้สดับเล่าเรียนมามาก   เพราะการ
<span class="LineNumber"> 008 </span>       	สมาคมกับคนดี    ย่อมมีแต่ความเจริญอย่างเดียว   เชิญดู
<span class="LineNumber"> 009 </span>	ร่างกายอันมีกระดูก  ๓๐๐ ท่อน    ซึ่งมีเอ็นใหญ่น้อยผูกขึ้น
<span class="LineNumber"> 010 </span>	เป็นโครงตั้งไว้    อันบุญกรรมตบแต่งให้วิจิตร   มีแผลทั่ว
<span class="LineNumber"> 011 </span>      	ทุกแห่ง  กระสับกระส่าย  คนโง่เขลาพากันดำริเป็นอันมาก
<span class="LineNumber"> 012 </span>	ไม่มีความยั่งยืนตั้งมั่น พระอานนทเถระผู้โคดมโคตร เป็น
<span class="LineNumber"> 013 </span>      	ผู้ได้สดับมามาก  มีถ้อยคำไพเราะ   เป็นผู้อุปัฏฐากพระ-
<span class="LineNumber"> 014 </span>	พุทธเจ้า  ปลงภาระลงแล้ว    บรรลุอรหัต  สำเร็จการนอน
<span class="LineNumber"> 015 </span>       	พระอานนทเถระสิ้นอาสวะแล้ว       ปราศจากกิเลสเครื่อง
<span class="LineNumber"> 016 </span>        	เกาะเกี่ยวแล้ว    ล่วงธรรมเป็นเครื่องข้องแล้ว     ดับสนิท
<span class="LineNumber"> 017 </span>        	ถึงฝั่งแห่งชาติและชรา      ทรงไว้แต่ร่างกายอันมีในที่สุด
<span class="LineNumber"> 018 </span>        	ธรรมทั้งหลายของพระพุทธเจ้า         ผู้เป็นเผ่าพันธุ์แห่ง
<span class="LineNumber"> 019 </span>	พระอาทิตย์  ตั้งอยู่แล้วในบุคคลใด  บุคคลนั้นคือ  พระ-
<span class="LineNumber"> 020 </span>       	อานนทเถระผู้โคตมะ    ชื่อว่าย่อมตั้งอยู่ในมรรคเป็นทาง
<span class="LineNumber"> 021 </span>	ไปสู่นิพพาน     พระอานนทเถระได้เรียนธรรมจากพระ-</B>
