พระสุตตันตปิฎก~~0001
๑.  เทสนาสูตร~~0001
ว่าด้วยปฏิจจสมุปบาท~~0001
อรรถกถาสังยุตตนิกาย  นิทานวรรค~~0003
อภิสมยสังยุต  พุทธวรรคที่  ๑~~0003
อรรถกถาปฐมปฏิจจสมุปบาทสูตรที่ ๑<SUP>๑</SUP>~~0003
เหตุตั้งพระสูตรมี ๔~~0007
บุคคลมี ๔~~0008
การถามมี ๕~~0015
๒. วิภังคสูตร~~0019
ว่าด้วยการจำแนกปฏิจจสมุปบาท~~0019
อรรถกถาวิภังคสูตรที่  ๒~~0022
อุปาทานนิเทศ~~0028
ผัสสนิเทศ~~0031
สฬายตนนิเทศ~~0031
วิญญาณนิเทศ~~0032
สังขารนิเทศ~~0033
อวิชชานิเทศ~~0033
๓. ปฏิปทาสูตร~~0035
ว่าด้วยปฏิปทา  ๒~~0035
อรรถกถาปฏิปทาสูตรที่  ๓~~0036
๔.  วิปัสสีสูตร~~0037
ว่าด้วยพระวิปัสสีโพธิสัตว์ทรงปริวิตก~~0037
อรรถกถาวิปัสสีสูตรที่ ๔~~0041
๕.  สิขีสูตรที่  ๙.  กัสสปสูตร~~0044
ว่าด้วยพระปริวิตกของพระพุทธเจ้า  ๗  องค์~~0044
๑๐.  มหาศักยมุนีโคตมสูตร~~0044
ว่าด้วยพระปริวตกของพระบรมโพธิสัตว์~~0044
อรรถกถาสิขีสูตรเป็นต้น (๕-๑๐)~~0048
อาหารวรรคที่ ๒~~0049
๑. อาหารสูตร~~0049
ว่าด้วยอาหาร  ๔  อย่าง~~0049
อาหารวรรคที่  ๒~~0051
อรรถกถาอาหารสูตรที่ ๑~~0051
๒. ผัคคุนสูตร~~0062
ว่าด้วยพระผัคคุนะทูลถามเรื่องอาหาร~~0062
อรรถกถาผัคคุนสูตรที่  ๒~~0065
ผัคคุนสูตรที่  ๒~~0065
๓. ปฐมสมณพราหมสูตร~~0068
ว่าด้วยเหตุแห่งความไม่เป็นสมณะและพราหมณ์~~0068
อรรถกถาปฐมสมณพราหมณสูตรที่  ๓~~0069
๔. ทุติยสมณพราหมณสูตร~~0070
ว่าด้วยเหตุแห่งความไม่เป็นสมณะและพราหมณ์~~0070
อรรถกถาทุติยสมณพราหมณสูตรที่  ๔~~0072
๕. กัจจานโคตตสูตร~~0072
ว่าด้วยพระกัจจานโคตต์ทูลถามสัมมาทิฏฐิ~~0072
อรรถกถากัจจานโคตตสูตรที่  ๕~~0073
๖.  ธรรมกถิกสูตร~~0076
ว่าด้วยคุณธรรมของพระธรรมกถึก~~0076
อรรถกถาธรรมกถิกสูตรที่  ๖~~0077
๗.  อเจลกัสสปสูตร~~0078
ว่าด้วยความทุกข์เกิดแต่ปัจจัย~~0078
อรรถกถาอเจลกัสสปสูตรที่  ๗~~0082
๘. ติมพรุกขสูตร~~0087
ว่าด้วยสุขและทุกข์เกิดแต่ปัจจัย~~0087
อรรถกถาติมพรุกขสูตรที่  ๘~~0089
