<span class="LineNumber"> 001 </span>			    ปฏิจจวาร
<span class="LineNumber"> 002 </span>	[๒๐๐] อนุปาทินนุปาทานิยธรรมที่เป็นเหตุ อาศัยอนุปาทินนุปาทานิยธรรมที่เป็นเหตุ 
<span class="LineNumber"> 003 </span>เกิดขึ้น เพราะเหตุปัจจัย มี ๓ นัย
<span class="LineNumber"> 004 </span>	อนุปาทินนุปาทานิยธรรมที่ไม่ใช่เหตุ อาศัยอนุปาทินนุปาทานิยธรรมที่ไม่ใช่เหตุ เกิดขึ้น 
<span class="LineNumber"> 005 </span>เพราะเหตุปัจจัย มี ๓ นัย
<span class="LineNumber"> 006 </span>	อนุปาทินนุปาทานิยธรรมที่เป็นเหตุ อาศัยอนุปาทินนุปาทานิยธรรมที่เป็นเหตุ และ
<span class="LineNumber"> 007 </span>อนุปาทินนุปาทานิยธรรมที่ไม่ใช่เหตุ เกิดขึ้น เพราะเหตุปัจจัย  มี ๓ นัย
<span class="LineNumber"> 008 </span>	[๒๐๑] ในเหตุปัจจัย         มีวาระ ๙
<span class="LineNumber"> 009 </span>		 ในอธิปติปัจจัย        มี  "      ๙
<span class="LineNumber"> 010 </span>		 ในอารัมมณปัจจัย      มี  "      ๙
<span class="LineNumber"> 011 </span>		 ในอธิปติปัจจัย        มีวาระ ๙
<span class="LineNumber"> 012 </span>		 ในอนันตรปัจจัย       มี  "      ๙
<span class="LineNumber"> 013 </span>		 ในสหชาตปัจจัย       มี  "      ๙
<span class="LineNumber"> 014 </span>		 ในอัญญมัญญปัจจัย      มี  "      ๙
<span class="LineNumber"> 015 </span>		 ในนิสสยปัจจัย        มี  "      ๙
<span class="LineNumber"> 016 </span>		 ในอุปนิสสยปัจจัย      มี  "      ๙
<span class="LineNumber"> 017 </span>		 ในปุเรชาตปัจจัย      มี  "      ๙
<span class="LineNumber"> 018 </span>		 ในอาเสวนปัจจัย      มี  "      ๙
<span class="LineNumber"> 019 </span>		 ในกัมมปัจจัย         มี  "      ๙
<span class="LineNumber"> 020 </span>		 ในวิปากปัจจัย        มี  "      ๑
<span class="LineNumber"> 021 </span>		 ในอาหารปัจจัย       มี  "      ๙
<span class="LineNumber"> 022 </span>		 ในอินทริยปัจจัย       มี  "      ๙
<span class="LineNumber"> 023 </span>		 ในฌานปัจจัย         มี  "      ๙
<span class="LineNumber"> 024 </span>		 ในสัมปยุตตปัจจัย      มี  "      ๙
<span class="LineNumber"> 025 </span>		 ในวิปปยุตตปัจจัย      มี  "      ๙
